インシデント,受付番号,優先度,作業期限,タイトル,内容
アラート,ALTGZIUckzPC237V58bU,緊急,2026-05-29,挙動が不安定な件,"さきほどから何となくおかしい気がします。
特定の時間帯だけかもしれません。
自分の環境だけの可能性もあります。
更新されたように見えますが、再読込すると戻ることがあります。
他のタブを閉じると改善したような気もします。
どのボタンだったか曖昧です。
急ぎではないですが確認をお願いします。"
問い合わせ,QSTJaMUXaAeBjBWNrrfl,低,2026-06-29,想定どおりか判断しづらい件,"いつからか分かりませんが、以前より挙動が違います。
正確な時刻は控えていません。
他画面でも同様かは確認できていません。
同じ操作でも成功したり失敗したりします。
以前も似たことがあった気がしますが記録がありません。
他のタブを閉じると改善したような気もします。
手順は覚えている範囲で記載します。
急ぎではないですが確認をお願いします。"
問い合わせ,QSTyP4xV1ZYKWABsTmIz,緊急,2026-05-25,想定どおりか判断しづらい件,"さきほどから何となくおかしい気がします。
特定の時間帯だけかもしれません。
一部のユーザーだけか、全体かは未確認です。
更新されたように見えますが、再読込すると戻ることがあります。
通信が遅いだけの可能性もあります。
以前も似たことがあった気がしますが記録がありません。
画面キャプチャは取得していません。
急ぎではないですが確認をお願いします。"
アラート,ALT1F8ZahVre9LBcFeA0,高,2026-05-21,しきい値超過に見える件,"さきほどから何となくおかしい気がします。
昨日の夕方には起きていた気もします。
自分の環境だけの可能性もあります。
同じ操作でも成功したり失敗したりします。
キャッシュ削除は試しましたが関係あるか分かりません。
以前も似たことがあった気がしますが記録がありません。
どのボタンだったか曖昧です。
念のため調査してもらえると安心です。"
問い合わせ,QSTV5Z7ajwXohMy7eS5Y,中,2026-05-21,問い合わせ内容の整理依頼,"さきほどから何となくおかしい気がします。
特定の時間帯だけかもしれません。
他画面でも同様かは確認できていません。
同じ操作でも成功したり失敗したりします。
キャッシュ削除は試しましたが関係あるか分かりません。
直前に別作業をしていたので因果関係は不明です。
まず見てもらえると助かります。"
アラート,ALTKmNckEJwvxhaxaxoT,低,2026-07-30,復旧したか判断しづらい件,"同じ操作をしても毎回同じ結果にはなりません。
特定の時間帯だけかもしれません。
自分の環境だけの可能性もあります。
同じ操作でも成功したり失敗したりします。
通信が遅いだけの可能性もあります。
キャッシュ削除は試しましたが関係あるか分かりません。
直前に別作業をしていたので因果関係は不明です。
必要なら追加で確認します。"
アラート,ALTTrGtBYHlQ3vCNQ9NB,中,2026-05-27,監視通知の内容が曖昧な件,"いつからか分かりませんが、以前より挙動が違います。
再現タイミングは一定ではありません。
ネットワーク要因かもしれず切り分けできていません。
先ほどは直ったように見えましたが、また発生しました。
他のタブを閉じると改善したような気もします。
以前も似たことがあった気がしますが記録がありません。
直前に別作業をしていたので因果関係は不明です。
まず見てもらえると助かります。"
アラート,ALTCGFrF1zMxatI8xrNd,高,2026-07-29,挙動が不安定な件,"状況をうまく説明できないのですが、気になる点があります。
今朝くらいからのようです。
他画面でも同様かは確認できていません。
先ほどは直ったように見えましたが、また発生しました。
ブラウザ再起動後は一時的に落ち着きました。
エラーコードは控えていません。
まず見てもらえると助かります。"
問い合わせ,QST8VLyGzU5063Ziu3wm,緊急,2026-06-07,問い合わせ内容の整理依頼,"同じ操作をしても毎回同じ結果にはなりません。
正確な時刻は控えていません。
本番だけか検証環境でも起きるか不明です。
同じ操作でも成功したり失敗したりします。
キャッシュ削除は試しましたが関係あるか分かりません。
以前も似たことがあった気がしますが記録がありません。
エラーコードは控えていません。
念のため調査してもらえると安心です。"
問い合わせ,QSTW6VIOQTaFkYcprEin,中,2026-05-14,表示内容が時々違う件,"状況をうまく説明できないのですが、気になる点があります。
再現タイミングは一定ではありません。
本番だけか検証環境でも起きるか不明です。
先ほどは直ったように見えましたが、また発生しました。
通信が遅いだけの可能性もあります。
他のタブを閉じると改善したような気もします。
画面キャプチャは取得していません。
念のため調査してもらえると安心です。"
