インシデント,受付番号,優先度,作業期限,タイトル,内容
アラート,ALTvNViPNmSd11X5CDE1,緊急,2026-08-11,断続的な異常が出る件,"たぶん不具合だと思うのですが、断言はできません。
再現タイミングは一定ではありません。
他画面でも同様かは確認できていません。
同じ操作でも成功したり失敗したりします。
ブラウザ再起動後は一時的に落ち着きました。
画面キャプチャは取得していません。
急ぎではないですが確認をお願いします。"
問い合わせ,QSTyMaMa1gNEYHOW7rt8,中,2026-06-24,問い合わせ内容の整理依頼,"さきほどから何となくおかしい気がします。
再現タイミングは一定ではありません。
自分の環境だけの可能性もあります。
エラー表示は出ないのに完了していないようです。
キャッシュ削除は試しましたが関係あるか分かりません。
以前も似たことがあった気がしますが記録がありません。
手順は覚えている範囲で記載します。
必要なら追加で確認します。"
問い合わせ,QSTTFk5ceQxAVvKMMPWb,緊急,2026-06-09,問い合わせ内容の整理依頼,"さきほどから何となくおかしい気がします。
正確な時刻は控えていません。
本番だけか検証環境でも起きるか不明です。
同じ操作でも成功したり失敗したりします。
ブラウザ再起動後は一時的に落ち着きました。
以前も似たことがあった気がしますが記録がありません。
エラーコードは控えていません。
まず見てもらえると助かります。"
問い合わせ,QSTvhLLAk6J4MQjXQjum,高,2026-05-20,再現条件が不明な件,"同じ操作をしても毎回同じ結果にはなりません。
再現タイミングは一定ではありません。
一部のユーザーだけか、全体かは未確認です。
エラー表示は出ないのに完了していないようです。
キャッシュ削除は試しましたが関係あるか分かりません。
他のタブを閉じると改善したような気もします。
直前に別作業をしていたので因果関係は不明です。
優先度はお任せしますが対応いただきたいです。"
問い合わせ,QSTKYymRLDUjEkF1almh,緊急,2026-05-19,結果が一定しない件,"さきほどから何となくおかしい気がします。
今朝くらいからのようです。
一部のユーザーだけか、全体かは未確認です。
同じ操作でも成功したり失敗したりします。
他のタブを閉じると改善したような気もします。
通信が遅いだけの可能性もあります。
画面キャプチャは取得していません。
優先度はお任せしますが対応いただきたいです。"
問い合わせ,QSTZa3DTWIZDGICBCZqz,低,2026-06-17,再現条件が不明な件,"たぶん不具合だと思うのですが、断言はできません。
今朝くらいからのようです。
自分の環境だけの可能性もあります。
先ほどは直ったように見えましたが、また発生しました。
以前も似たことがあった気がしますが記録がありません。
他のタブを閉じると改善したような気もします。
エラーコードは控えていません。
急ぎではないですが確認をお願いします。"
問い合わせ,QSTFZZvjlFuA3iiSoR5l,中,2026-06-16,再現条件が不明な件,"たぶん不具合だと思うのですが、断言はできません。
今朝くらいからのようです。
本番だけか検証環境でも起きるか不明です。
更新されたように見えますが、再読込すると戻ることがあります。
他のタブを閉じると改善したような気もします。
通信が遅いだけの可能性もあります。
直前に別作業をしていたので因果関係は不明です。
優先度はお任せしますが対応いただきたいです。"
アラート,ALTcyCxwlbSfIuoYEa3f,高,2026-06-21,復旧したか判断しづらい件,"同じ操作をしても毎回同じ結果にはなりません。
再現タイミングは一定ではありません。
他画面でも同様かは確認できていません。
問題ない時もあるので再現条件が特定できません。
通信が遅いだけの可能性もあります。
キャッシュ削除は試しましたが関係あるか分かりません。
直前に別作業をしていたので因果関係は不明です。
急ぎではないですが確認をお願いします。"
アラート,ALTBTsI7EgNNcOfprkOI,中,2026-07-23,監視通知の内容が曖昧な件,"たぶん不具合だと思うのですが、断言はできません。
昨日の夕方には起きていた気もします。
本番だけか検証環境でも起きるか不明です。
問題ない時もあるので再現条件が特定できません。
ブラウザ再起動後は一時的に落ち着きました。
直前に別作業をしていたので因果関係は不明です。
必要なら追加で確認します。"
問い合わせ,QSTpTr2Gxa20TJ7NcikM,緊急,2026-05-11,再現条件が不明な件,"たぶん不具合だと思うのですが、断言はできません。
今朝くらいからのようです。
自分の環境だけの可能性もあります。
エラー表示は出ないのに完了していないようです。
キャッシュ削除は試しましたが関係あるか分かりません。
他のタブを閉じると改善したような気もします。
どのボタンだったか曖昧です。
必要なら追加で確認します。"
